time,idle_drivers,pending_requests,feasible_pairs,baseline_matches,evaluated_candidates,candidates_with_different_future_count,candidates_with_higher_future_count,baseline_future_count,selected_future_count,accepted_improvements,changed_from_same_state_baseline,score_gain
1,12,1,11,1,0,0,0,,,0,False,0.0
3,11,1,7,1,0,0,0,,,0,False,0.0
4,10,1,4,1,0,0,0,,,0,False,0.0
5,9,1,8,1,0,0,0,,,0,False,0.0
6,8,1,6,1,0,0,0,,,0,False,0.0
10,7,2,10,2,0,0,0,,,0,False,0.0
13,6,1,3,1,0,0,0,,,0,False,0.0
15,5,1,5,1,0,0,0,,,0,False,0.0
16,4,2,1,1,0,0,0,,,0,False,0.0
17,3,1,0,0,0,0,0,,,0,False,0.0
18,4,1,0,0,0,0,0,,,0,False,0.0
19,4,2,4,1,0,0,0,,,0,False,0.0
20,4,2,4,1,0,0,0,,,0,False,0.0
21,3,3,5,2,0,0,0,,,0,False,0.0
22,2,1,0,0,0,0,0,,,0,False,0.0
23,2,1,0,0,0,0,0,,,0,False,0.0
24,2,4,3,1,0,0,0,,,0,False,0.0
25,2,5,3,2,0,0,0,,,0,False,0.0
28,1,5,1,1,0,0,0,,,0,False,0.0
29,1,4,0,0,0,0,0,,,0,False,0.0
30,2,4,1,1,0,0,0,,,0,False,0.0
31,2,5,4,2,0,0,0,,,0,False,0.0
34,1,3,1,1,0,0,0,,,0,False,0.0
35,1,1,0,0,0,0,0,,,0,False,0.0
36,2,2,2,1,0,0,0,,,0,False,0.0
37,1,2,0,0,0,0,0,,,0,False,0.0
38,1,3,0,0,0,0,0,,,0,False,0.0
39,2,3,0,0,0,0,0,,,0,False,0.0
40,3,3,0,0,0,0,0,,,0,False,0.0
41,4,3,0,0,0,0,0,,,0,False,0.0
42,5,4,4,1,0,0,0,,,0,False,0.0
43,4,3,0,0,0,0,0,,,0,False,0.0
44,5,4,4,1,0,0,0,,,0,False,0.0
45,4,3,0,0,0,0,0,,,0,False,0.0
46,6,3,4,1,0,0,0,,,0,False,0.0
47,5,2,2,1,0,0,0,,,0,False,0.0
48,4,1,4,1,0,0,0,,,0,False,0.0
49,4,3,10,3,0,0,0,,,0,False,0.0
53,3,1,2,1,0,0,0,,,0,False,0.0
54,2,1,1,1,0,0,0,,,0,False,0.0
56,2,4,4,2,0,0,0,,,0,False,0.0
57,1,3,1,1,0,0,0,,,0,False,0.0
60,1,6,2,1,0,0,0,,,0,False,0.0
61,1,7,2,1,0,0,0,,,0,False,0.0
62,1,8,1,1,0,0,0,,,0,False,0.0
65,2,8,2,1,0,0,0,,,0,False,0.0
66,1,7,1,1,0,0,0,,,0,False,0.0
67,1,7,1,1,0,0,0,,,0,False,0.0
68,1,6,1,1,0,0,0,,,0,False,0.0
70,1,6,1,1,0,0,0,,,0,False,0.0
71,1,5,0,0,0,0,0,,,0,False,0.0
72,2,5,0,0,0,0,0,,,0,False,0.0
73,4,6,7,3,0,0,0,,,0,False,0.0
74,2,5,2,1,0,0,0,,,0,False,0.0
75,1,4,0,0,0,0,0,,,0,False,0.0
76,2,5,2,1,0,0,0,,,0,False,0.0
77,1,5,1,1,0,0,0,,,0,False,0.0
80,1,7,1,1,0,0,0,,,0,False,0.0
81,1,8,2,1,0,0,0,,,0,False,0.0
82,1,7,2,1,0,0,0,,,0,False,0.0
86,1,9,1,1,0,0,0,,,0,False,0.0
87,1,10,2,1,0,0,0,,,0,False,0.0
88,1,9,0,0,0,0,0,,,0,False,0.0
89,2,7,3,2,0,0,0,,,0,False,0.0
90,1,5,0,0,0,0,0,,,0,False,0.0
91,2,4,1,1,0,0,0,,,0,False,0.0
92,2,4,2,1,0,0,0,,,0,False,0.0
93,2,3,1,1,0,0,0,,,0,False,0.0
94,2,1,0,0,0,0,0,,,0,False,0.0
95,2,1,1,1,0,0,0,,,0,False,0.0
97,2,1,1,1,0,0,0,,,0,False,0.0
98,1,1,0,0,0,0,0,,,0,False,0.0
99,3,1,1,1,0,0,0,,,0,False,0.0
101,3,1,2,1,0,0,0,,,0,False,0.0
102,2,1,1,1,0,0,0,,,0,False,0.0
103,1,1,0,0,0,0,0,,,0,False,0.0
104,1,1,0,0,0,0,0,,,0,False,0.0
105,2,1,1,1,0,0,0,,,0,False,0.0
107,2,1,2,1,0,0,0,,,0,False,0.0
108,2,1,2,1,0,0,0,,,0,False,0.0
109,3,1,2,1,0,0,0,,,0,False,0.0
112,4,1,3,1,0,0,0,,,0,False,0.0
113,4,2,4,1,0,0,0,,,0,False,0.0
114,4,2,3,1,0,0,0,,,0,False,0.0
115,4,1,1,1,0,0,0,,,0,False,0.0
116,3,2,2,1,0,0,0,,,0,False,0.0
117,2,1,0,0,0,0,0,,,0,False,0.0
118,2,1,0,0,0,0,0,,,0,False,0.0
119,3,2,2,1,0,0,0,,,0,False,0.0
120,2,2,2,1,0,0,0,,,0,False,0.0
121,2,1,0,0,0,0,0,,,0,False,0.0
122,2,1,0,0,0,0,0,,,0,False,0.0
123,4,1,0,0,0,0,0,,,0,False,0.0
124,4,1,0,0,0,0,0,,,0,False,0.0
125,4,1,0,0,0,0,0,,,0,False,0.0
