date,seed,fleet,weight,policy,requests,served,expired,service_rate,mean_wait_min,p90_wait_min,mean_pickup_min,idle_share,pickup_share,passenger_share,mean_decision_ms,max_decision_ms,drain_end_min,decision_epochs,epochs_with_evaluated_alternatives,epochs_with_future_count_difference,epochs_with_higher_future_count,changed_from_same_state_baseline,evaluated_candidates,expired_no_decision_epoch_before_expiry,expired_feasible_at_least_once_but_unserved,expired_idle_but_unreachable_at_every_epoch,expired_no_idle_at_every_epoch,expired_mixed_no_idle_and_unreachable
2024-01-16,2026,8,0,baseline,57,24,33,0.42105263157894735,6.8409722222222324,7.489166666666712,6.375694444444444,0.6214236111111112,0.15939236111111107,0.21918402777777776,0.012398053773462639,0.07850000110920519,128,112,0,0,0,0,0,0,0,33,0,0
2024-01-16,2026,8,3,lookahead,57,24,33,0.42105263157894735,6.8409722222222324,7.489166666666712,6.375694444444444,0.6214236111111112,0.15939236111111107,0.21918402777777776,0.17081468792769425,2.0115420047659427,128,112,11,1,1,0,16,0,0,33,0,0
2024-01-16,2026,8,10,lookahead,57,25,32,0.43859649122807015,6.896666666666673,7.496666666666646,6.426,0.6047048611111111,0.16734374999999996,0.2279513888888889,0.17264751318384902,1.3669999898411334,128,111,11,2,2,2,20,0,0,32,0,0
2024-01-16,2027,8,0,baseline,57,22,35,0.38596491228070173,6.854545454545461,7.49083333333342,6.374242424242424,0.643671875,0.14607638888888885,0.21025173611111111,0.010811584804475576,0.017625003238208592,125,111,0,0,0,0,0,0,0,35,0,0
2024-01-16,2027,8,3,lookahead,57,22,35,0.38596491228070173,6.854545454545461,7.49083333333342,6.374242424242424,0.643671875,0.14607638888888885,0.21025173611111111,0.14836634291642187,1.2557920126710087,125,111,6,1,1,0,12,0,0,35,0,0
2024-01-16,2027,8,10,lookahead,57,23,34,0.40350877192982454,6.91449275362319,7.845000000000105,6.428985507246376,0.626953125,0.1540277777777778,0.21901909722222224,0.16655593660559403,2.1824580035172403,125,111,7,2,2,2,20,0,0,34,0,0
2024-01-17,2026,8,0,baseline,103,29,74,0.2815533980582524,7.137356321839102,7.860000000000025,6.775862068965517,0.5755989583333334,0.2006510416666666,0.22375,0.012875063966641882,0.037667006836272776,135,126,0,0,0,0,0,0,2,72,0,0
2024-01-17,2026,8,3,lookahead,103,35,68,0.33980582524271846,7.182619047619073,7.855000000000027,6.799285714285714,0.4979774305555556,0.23711805555555548,0.26490451388888897,0.21591104730032384,2.5464999926043674,141,125,18,4,3,3,42,0,1,67,0,0
2024-01-17,2026,8,10,lookahead,103,35,68,0.33980582524271846,7.182619047619073,7.855000000000027,6.799285714285714,0.4979774305555556,0.23711805555555548,0.26490451388888897,0.2195770317921415,2.743707998888567,141,125,18,4,3,3,42,0,1,67,0,0
2024-01-17,2027,8,0,baseline,103,30,73,0.2912621359223301,7.1872222222222435,7.8591666666666935,6.813888888888889,0.5579427083333334,0.2088975694444444,0.23315972222222225,0.013145141969693618,0.04845800867769867,135,126,0,0,0,0,0,0,2,71,0,0
2024-01-17,2027,8,3,lookahead,103,31,72,0.30097087378640774,7.145161290322602,7.858333333333363,6.760752688172043,0.5579427083333334,0.20754340277777772,0.23451388888888894,0.20658031257335097,1.624833996174857,141,125,16,2,2,1,41,0,2,70,0,0
2024-01-17,2027,8,10,lookahead,103,35,68,0.33980582524271846,7.198333333333358,7.855000000000027,6.800714285714285,0.4963802083333334,0.23717013888888877,0.2664496527777779,0.21769739279989153,2.0769580005435273,141,125,21,2,1,1,40,0,1,67,0,0
2024-01-16,2026,12,0,baseline,57,27,30,0.47368421052631576,6.784876543209883,7.368333333333348,6.312654320987654,0.7137731481481483,0.1183622685185185,0.16786458333333332,0.01434794653874092,0.044500004150904715,128,111,0,0,0,0,0,0,0,30,0,0
2024-01-16,2026,12,3,lookahead,57,27,30,0.47368421052631576,6.854012345679019,7.521666666666696,6.38179012345679,0.7124768518518518,0.1196585648148148,0.16786458333333332,0.3145965044848151,2.966458006994799,128,111,22,6,3,2,45,0,0,30,0,0
2024-01-16,2026,12,10,lookahead,57,28,29,0.49122807017543857,6.903273809523812,7.579166666666613,6.426488095238095,0.7013310185185185,0.12495949074074068,0.17370949074074074,0.31301781828832725,3.100417001405731,128,110,22,7,4,4,55,0,0,29,0,0
