time,idle_drivers,pending_requests,feasible_pairs,baseline_matches,evaluated_candidates,candidates_with_different_future_count,candidates_with_higher_future_count,baseline_future_count,selected_future_count,accepted_improvements,changed_from_same_state_baseline,score_gain
1,8,1,7,1,6,0,0,7,7,0,False,0.0
3,7,1,6,1,5,0,0,8,8,0,False,0.0
4,6,1,1,1,0,0,0,8,8,0,False,0.0
5,5,1,4,1,3,3,0,8,8,0,False,0.0
6,4,1,4,1,3,0,0,8,8,0,False,0.0
10,3,2,6,2,3,0,0,8,8,0,False,0.0
13,2,1,1,1,0,0,0,8,8,0,False,0.0
15,1,1,1,1,0,0,0,8,8,0,False,0.0
19,1,3,1,1,0,0,0,8,8,0,False,0.0
20,1,3,1,1,0,0,0,8,8,0,False,0.0
22,1,4,1,1,0,0,0,8,8,0,False,0.0
26,1,7,2,1,0,0,0,8,8,0,False,0.0
28,1,8,1,1,0,0,0,8,8,0,False,0.0
29,1,7,0,0,0,0,0,,,0,False,0.0
30,1,7,0,0,0,0,0,,,0,False,0.0
31,3,8,5,3,1,0,0,8,8,0,False,0.0
37,2,4,3,2,0,0,0,7.5,7.5,0,False,0.0
40,1,3,0,0,0,0,0,,,0,False,0.0
41,1,3,0,0,0,0,0,,,0,False,0.0
42,2,4,2,1,2,1,1,7.5,8,1,True,0.8666666666666671
43,1,2,0,0,0,0,0,,,0,False,0.0
44,1,3,1,1,0,0,0,8,8,0,False,0.0
46,1,2,1,1,0,0,0,7,7,0,False,0.0
47,1,2,0,0,0,0,0,,,0,False,0.0
48,1,2,1,1,0,0,0,8,8,0,False,0.0
49,1,4,2,1,0,0,0,8,8,0,False,0.0
50,1,3,3,1,0,0,0,8,8,0,False,0.0
55,1,4,0,0,0,0,0,,,0,False,0.0
56,1,8,2,1,0,0,0,8,8,0,False,0.0
58,1,10,2,1,0,0,0,7.5,7.5,0,False,0.0
60,1,9,2,1,0,0,0,8,8,0,False,0.0
63,2,12,2,1,0,0,0,8,8,0,False,0.0
64,2,10,0,0,0,0,0,,,0,False,0.0
65,3,10,0,0,0,0,0,,,0,False,0.0
66,3,10,5,2,2,0,0,8,8,0,False,0.0
67,2,8,2,1,1,0,0,8,8,0,False,0.0
68,1,7,2,1,0,0,0,8,8,0,False,0.0
70,1,6,1,1,0,0,0,7.5,7.5,0,False,0.0
73,1,5,2,1,0,0,0,7.5,7.5,0,False,0.0
74,1,6,1,1,0,0,0,8,8,0,False,0.0
80,1,11,1,1,0,0,0,8,8,0,False,0.0
82,1,11,2,1,0,0,0,8,8,0,False,0.0
86,2,11,2,1,1,0,0,8,8,0,False,0.0
87,2,11,4,2,1,0,0,8,8,0,False,0.0
89,2,7,2,1,1,0,0,6,6,0,False,0.0
90,2,6,0,0,0,0,0,,,0,False,0.0
91,2,4,0,0,0,0,0,,,0,False,0.0
92,2,5,2,1,1,0,0,7.5,7.5,0,False,0.0
93,1,4,0,0,0,0,0,,,0,False,0.0
94,1,3,0,0,0,0,0,,,0,False,0.0
95,1,3,1,1,0,0,0,7,7,0,False,0.0
97,1,3,1,1,0,0,0,7,7,0,False,0.0
99,1,2,1,1,0,0,0,5,5,0,False,0.0
103,1,3,2,1,0,0,0,3,3,0,False,0.0
106,3,2,2,1,1,0,0,5,5,0,False,0.0
107,2,2,2,1,1,1,0,4,4,0,False,0.0
108,1,2,1,1,0,0,0,3.5,3.5,0,False,0.0
110,1,2,1,1,0,0,0,3.5,3.5,0,False,0.0
112,2,1,1,1,0,0,0,1,1,0,False,0.0
113,1,2,1,1,0,0,0,1,1,0,False,0.0
115,1,2,1,1,0,0,0,0.5,0.5,0,False,0.0
119,1,4,1,1,0,0,0,0.5,0.5,0,False,0.0
120,1,4,1,1,0,0,0,0,0,0,False,0.0
123,1,3,0,0,0,0,0,,,0,False,0.0
124,2,2,0,0,0,0,0,,,0,False,0.0
125,2,2,0,0,0,0,0,,,0,False,0.0
126,2,1,0,0,0,0,0,,,0,False,0.0
127,2,1,0,0,0,0,0,,,0,False,0.0
128,3,1,0,0,0,0,0,,,0,False,0.0
129,3,1,0,0,0,0,0,,,0,False,0.0
